Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Palos de Moguer;Arganzuela;House;Private room;2;1.0;1.0;1.0;25.0;;;1;0;1;1125;0;0;0;0;1;80.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.09
Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;75.0;150.0;28.0;2;30;12;366;1;1;6;96;29;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.8
Argüelles;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;1.0;35.0;;;1;0;4;5;0;0;0;0;0;;;;;;;;strict;
Justicia;Centro;Apartment;Private room;1;1.0;1.0;1.0;12.0;;;1;10;1;1125;0;0;0;0;10;84.0;9.0;8.0;9.0;9.0;9.0;8.0;flexible;0.47
Gaztambide;Chamberí;Apartment;Private room;3;1.0;1.0;2.0;30.0;;;1;30;5;60;21;51;81;356;7;97.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.3
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;65.0;;;1;0;3;1125;16;43;64;339;42;93.0;10.0;10.0;9.0;10.0;10.0;10.0;moderate;1.41
Cortes;Centro;House;Private room;2;1.0;1.0;2.0;38.0;;;2;15;2;1125;16;40;70;345;3;80.0;9.0;9.0;10.0;10.0;10.0;10.0;strict;0.53
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;67.0;150.0;30.0;1;0;2;1125;9;26;54;144;58;94.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;3.04
Gaztambide;Chamberí;Apartment;Private room;2;2.5;1.0;1.0;12.0;;;1;9;2;1125;19;49;79;82;15;81.0;8.0;6.0;10.0;10.0;10.0;8.0;flexible;1.19
Cortes;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;95.0;100.0;35.0;5;0;3;7;2;10;23;277;108;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.14
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;60.0;;;1;0;2;1000;3;17;26;301;319;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;5.3
Valverde;Fuencarral - El Pardo;Bed & Breakfast;Private room;2;1.0;1.0;2.0;35.0;200.0;20.0;1;0;1;1125;11;39;69;344;10;98.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;0.38
Goya;Salamanca;Apartment;Entire home/apt;3;1.0;1.0;2.0;115.0;180.0;29.0;2;24;3;1125;28;58;88;363;0;;;;;;;;strict;
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;79.0;200.0;29.0;2;20;2;1125;0;23;53;328;0;;;;;;;;strict;
